Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median
1989,LAA,1599,6102,145,669,624,89,7.0%,16.6%,0.129,0.288,0.256,0.311,0.386,0.313,,97,-0.2,-18.9,30,22.2,91,71,38,413,162,1454.1,5.55,2.88,0.7,0.278,75.6%,,,,3.28,,3.56,,20.1,14713833,14713833,525494,386250
1989,LAD,2109,6124,89,554,513,81,8.3%,14.5%,0.099,0.27,0.24,0.306,0.339,0.292,,87,-7.1,-93.8,36.1,14,77,83,36,445,160,1463.1,6.47,3.1,0.58,0.272,76.0%,,,,2.95,,3.26,,19.6,21584161,21584161,674505,435000
1989,MIL,1667,6085,126,707,660,165,7.5%,13.0%,0.124,0.28,0.259,0.318,0.382,0.316,,97,6.5,-17.7,-56.4,13.7,81,81,45,453,162,1432.1,5.1,2.87,0.81,0.285,71.8%,,,,3.8,,3.82,,12.7,10373000,10373000,357690,165000
1989,MIN,1881,6207,117,740,691,111,7.7%,12.0%,0.125,0.298,0.276,0.334,0.402,0.331,,104,-1,26,-44,20,80,82,38,459,162,1429.1,5.36,3.15,0.88,0.291,70.4%,,,,4.28,,3.97,,10.7,15540500,15540500,597712,316250
1989,MON,2185,6207,100,632,587,159,9.2%,15.4%,0.114,0.28,0.247,0.319,0.361,0.307,,95,2.3,-33.2,4.1,17.7,81,81,35,449,162,1468.1,6.49,3.18,0.74,0.277,73.2%,,,,3.48,,3.51,,15.3,12305389,12305389,455755,320000
1989,NYM,2084,6131,147,683,633,158,8.2%,15.2%,0.139,0.27,0.246,0.311,0.385,0.312,,101,8.8,16.4,65.9,29,87,75,38,436,162,1454.1,6.86,3.29,0.71,0.265,73.8%,,,,3.3,,3.42,,16.7,20013212,20013212,769739,500000
1989,NYY,1733,6096,130,698,657,137,8.2%,13.6%,0.122,0.295,0.269,0.331,0.391,0.326,,104,1.5,29.2,0,24.4,74,87,44,439,161,1414.2,5.01,3.31,0.95,0.3,69.3%,,,,4.54,,4.21,,7.5,20562985,20562985,663322,500000
1989,OAK,1751,6110,127,712,659,157,9.2%,14.0%,0.12,0.286,0.261,0.331,0.381,0.323,,107,7.4,57.5,-1.4,27.4,99,63,57,479,162,1448.1,5.78,3.17,0.64,0.266,74.3%,,,,3.13,,3.52,,16.5,14602999,14602999,503552,375000
1989,PHI,2240,6128,123,629,594,106,9.1%,15.1%,0.12,0.27,0.243,0.314,0.364,0.306,,92,-0.7,-52,-48.8,10.1,67,95,33,511,163,1433.1,5.64,3.85,0.8,0.283,70.3%,,,,4.07,,4.01,,7.3,9640000,9640000,401667,227500
1989,PIT,2211,6261,95,637,584,155,9.0%,14.6%,0.118,0.27,0.241,0.311,0.359,0.3,,92,2,-51.5,63.5,21.8,74,88,40,489,164,1487.2,5,3.26,0.73,0.266,71.5%,,,,3.65,,3.85,,9.3,11993500,11993500,461288,380000
1989,SDP,2047,6120,120,642,598,136,9.0%,16.6%,0.118,0.286,0.251,0.319,0.369,0.309,,97,-1.2,-19.9,-40.1,14.4,89,73,52,407,162,1457.1,5.76,2.97,0.82,0.271,73.7%,,,,3.38,,3.7,,15,13094000,13094000,523760,370000
1989,SEA,1724,6134,134,694,653,81,8.0%,13.7%,0.126,0.279,0.257,0.32,0.384,0.318,,96,-7.6,-38.2,-13.7,15.9,73,89,44,492,162,1438,5.61,3.5,0.71,0.286,69.5%,,,,4.01,,3.8,,16.7,9547500,9547500,329224,155000
1989,SFG,2315,6139,141,699,647,87,8.3%,17.4%,0.14,0.285,0.25,0.316,0.39,0.315,,105,-5.8,25.1,76.2,31,92,70,47,480,162,1457,4.95,2.91,0.74,0.26,73.8%,,,,3.3,,3.75,,10.1,14094000,14094000,563760,535000
