Season,Team,W,L,OD_Salary,Current,AVG Salary,Median,Success_Score,LeagueID,DivisionID,Rank,Division_Win,Wildcard_Win,League_Win,WorldSeries_Win,Name
1992,MIL,92,70,30253668.0,30253668.0,1163603,637500,56.79,AL,E,2,N,,N,N,Milwaukee Brewers
1992,MIN,90,72,27432834.0,27432834.0,979744,412500,55.56,AL,W,2,N,,N,N,Minnesota Twins
1992,NYM,72,90,44352002.0,44352002.0,1705846,840000,44.44,NL,E,5,N,,N,N,New York Mets
1992,NYY,76,86,35966834.0,35966834.0,1160220,500000,46.91,AL,E,4,N,,N,N,New York Yankees
1992,OAK,96,66,39957834.0,39957834.0,1331928,680000,59.26,AL,W,1,Y,,N,N,Oakland Athletics
1992,PHI,70,92,23804834.0,23804834.0,850173,257500,43.21,NL,E,6,N,,N,N,Philadelphia Phillies
1992,PIT,96,66,32589167.0,32589167.0,1163899,398750,59.26,NL,E,1,Y,,N,N,Pittsburgh Pirates
1992,SDP,82,80,27584167.0,27584167.0,919472,462500,50.62,NL,W,3,N,,N,N,San Diego Padres
1992,SEA,64,98,22483834.0,22483834.0,749461,317500,39.51,AL,W,7,N,,N,N,Seattle Mariners
1992,SFG,72,90,33126168.0,33126168.0,1183077,550000,44.44,NL,W,5,N,,N,N,San Francisco Giants
1992,STL,83,79,26889836.0,26889836.0,896328,350000,51.23,NL,E,3,N,,N,N,St. Louis Cardinals
1992,TEX,77,85,29740667.0,29740667.0,959376,225000,47.53,AL,W,4,N,,N,N,Texas Rangers
1992,TOR,96,66,43663666.0,43663666.0,1364490,925000,59.26,AL,E,1,Y,,Y,Y,Toronto Blue Jays
1992,WSN,87,75,15869667.0,15869667.0,547230,200000,53.7,NL,E,2,N,,N,N,Montreal Expos
1993,ATL,104,58,38131000.0,38131000.0,1361821,887500,64.2,NL,W,1,Y,,N,N,Atlanta Braves
1993,BAL,85,77,26914000.0,26914000.0,1035154,350000,52.47,AL,E,3,N,,N,N,Baltimore Orioles
1993,BOS,80,82,37108583.0,37108583.0,1374392,700000,49.38,AL,E,5,N,,N,N,Boston Red Sox
1993,CHC,84,78,38303166.0,38303166.0,1320799,312500,51.85,NL,E,4,N,,N,N,Chicago Cubs
1993,CHW,94,68,34598166.0,34598166.0,1281414,900000,58.02,AL,W,1,Y,,N,N,Chicago White Sox
1993,CIN,73,89,42851167.0,42851167.0,1587080,700000,45.06,NL,W,5,N,,N,N,Cincinnati Reds
1993,CLE,76,86,15717667.0,15717667.0,541989,400000,46.91,AL,E,6,N,,N,N,Cleveland Indians
1993,COL,67,95,8829000.0,8829000.0,327000,200000,41.36,NL,W,6,N,,N,N,Colorado Rockies
1993,DET,85,77,36548166.0,36548166.0,1353636,500000,52.47,AL,E,3,N,,N,N,Detroit Tigers
1993,HOU,85,77,28854500.0,28854500.0,1109788,450000,52.47,NL,W,3,N,,N,N,Houston Astros
1993,KCR,84,78,40102666.0,40102666.0,1485284,1000000,51.85,AL,W,3,N,,N,N,Kansas City Royals
1993,LAA,71,91,27230334.0,27230334.0,972512,263750,43.83,AL,W,5,N,,N,N,California Angels
1993,LAD,81,81,37833000.0,37833000.0,1146455,500000,50.0,NL,W,4,N,,N,N,Los Angeles Dodgers
1993,MIA,64,98,18196545.0,18196545.0,649877,195000,39.51,NL,E,6,N,,N,N,Florida Marlins
1993,MIL,69,93,22948834.0,22948834.0,764961,223750,42.59,AL,E,7,N,,N,N,Milwaukee Brewers
1993,MIN,71,91,27284933.0,27284933.0,1010553,500000,43.83,AL,W,5,N,,N,N,Minnesota Twins
1993,NYM,59,103,38350167.0,38350167.0,1534007,650000,36.42,NL,E,7,N,,N,N,New York Mets
1993,NYY,88,74,41305000.0,41305000.0,1424310,600000,54.32,AL,E,2,N,,N,N,New York Yankees
1993,OAK,68,94,35565834.0,35565834.0,1270208,575000,41.98,AL,W,7,N,,N,N,Oakland Athletics
