,Unnamed: 0,Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median,Success_Score
57,57,1990,CIN,2145,6163,125,693,644,166,7.6%,14.8%,0.134,0.296,0.265,0.325,0.3989999999999999,0.322,,94,4.9,-37.7,16.9,20.3,91,71,50,478,162,1456.1,6.36,3.36,0.77,0.276,75.7%,,,,3.4,,3.69,,21.2,14769500.0,14769500.0,399176,175000,56.17
58,58,1990,CLE,1684,6087,110,732,675,107,7.5%,13.7%,0.124,0.295,0.267,0.324,0.391,0.32,,97,-1.5,-19.0,-0.3,17.9,77,85,47,463,162,1427.1,5.42,3.27,1.03,0.289,72.1%,,,,4.27,,4.26,,8.1,15152000.0,15152000.0,388513,170000,47.53
59,59,1990,DET,1816,6224,172,750,714,82,10.2%,15.3%,0.15,0.283,0.259,0.337,0.409,0.335,,109,-8.6,55.7,-37.9,22.5,79,83,45,462,162,1430.1,5.39,4.16,0.97,0.276,71.5%,,,,4.39,,4.49,,6.4,18092238.0,18092238.0,476112,155000,48.77
60,60,1990,HOU,2279,6076,94,573,536,179,9.0%,16.4%,0.103,0.2789999999999999,0.242,0.313,0.345,0.298,,85,0.8,-104.8,-7.0,10.5,75,87,37,510,162,1450.0,5.3,3.08,0.81,0.2739999999999999,72.9%,,,,3.62,,3.9,,8.5,18830000.0,18830000.0,523056,240000,46.3
61,61,1990,KCR,1754,6099,100,707,660,107,8.2%,14.4%,0.128,0.299,0.267,0.3279999999999999,0.395,0.325,,102,-5.4,10.3,-75.9,13.5,75,86,33,473,161,1420.2,6.37,3.55,0.73,0.299,71.1%,,,,3.93,,3.73,,13.9,23873745.0,23873745.0,596844,300000,46.58
62,62,1990,LAA,1689,6267,147,690,646,69,9.0%,16.0%,0.131,0.291,0.26,0.3289999999999999,0.391,0.324,,104,-5.7,19.4,-63.1,16.3,80,82,42,431,162,1454.0,5.84,3.37,0.66,0.3,70.9%,,,,3.81,,3.66,,20.2,21870000.0,21870000.0,591081,410000,49.38
63,63,1990,LAD,2250,6179,129,728,669,141,8.7%,15.4%,0.121,0.293,0.262,0.3279999999999999,0.382,0.318,,97,0.1,-19.2,18.3,22.5,86,76,29,501,162,1442.0,6.37,2.98,0.86,0.278,70.6%,,,,3.74,,3.68,,14.1,21618704.0,21618704.0,568913,321250,53.09
64,64,1990,MIL,1732,6185,128,732,680,164,8.4%,13.3%,0.128,0.2769999999999999,0.256,0.32,0.384,0.315,,97,2.0,-16.2,-45.9,14.0,74,88,42,502,162,1445.0,4.8,2.92,0.75,0.294,68.8%,,,,4.11,,3.88,,13.6,20019167.0,20019167.0,500479,162500,45.68
65,65,1990,MIN,1804,6086,100,666,625,96,7.3%,12.3%,0.12,0.289,0.265,0.324,0.385,0.319,,94,-4.1,-47.7,-25.0,12.4,74,88,43,472,162,1435.2,5.47,3.07,0.84,0.298,70.5%,,,,4.14,,3.89,,14.4,15106000.0,15106000.0,368439,115000,45.68
66,66,1990,MON,2254,6189,114,662,607,235,9.3%,16.5%,0.12,0.286,0.25,0.322,0.37,0.311,,90,5.6,-65.7,16.9,17.5,85,77,50,503,162,1473.1,6.05,3.12,0.78,0.271,75.6%,,,,3.37,,3.7,,14.5,16656388.0,16656388.0,489894,296250,52.47
67,67,1990,NYM,2107,6182,172,775,734,110,8.7%,13.8%,0.152,0.273,0.256,0.3229999999999999,0.408,0.325,,103,6.7,30.0,4.9,26.4,91,71,41,430,162,1440.0,7.61,2.78,0.74,0.29,72.8%,,,,3.43,,3.17,,24.4,22418834.0,22418834.0,574842,155000,56.17
68,68,1990,NYY,1821,6037,147,603,561,119,7.1%,17.0%,0.125,0.27,0.241,0.3,0.366,0.3,,85,3.8,-101.5,11.2,10.1,67,95,41,504,162,1444.2,5.66,3.85,0.9,0.284,70.8%,,,,4.23,,4.18,,10.7,20991318.0,20991318.0,617392,437500,41.36
69,69,1990,OAK,1891,6240,164,733,693,141,10.4%,15.9%,0.1369999999999999,0.281,0.254,0.336,0.391,0.3289999999999999,,109,4.3,70.6,85.0,36.4,103,59,64,465,162,1456.0,5.14,3.05,0.76,0.256,75.7%,,,,3.18,,3.84,,14.5,19987501.0,19987501.0,555208,272500,63.58
70,70,1990,PHI,2211,6245,103,646,619,108,9.3%,14.7%,0.108,0.287,0.255,0.327,0.363,0.31,,89,5.3,-76.0,64.2,21.3,77,85,35,536,162,1449.0,5.22,4.04,0.77,0.272,70.6%,,,,4.09,,4.17,,7.8,13953667.0,13953667.0,377126,150000,47.53
71,71,1990,PIT,2217,6161,138,733,693,137,9.4%,14.8%,0.146,0.286,0.259,0.33,0.405,0.3279999999999999,,104,4.6,32.9,55.8,31.7,95,67,43,526,162,1447.0,5.27,2.57,0.84,0.27,73.5%,,,,3.4,,3.77,,13.8,15656000.0,15656000.0,423135,350000,58.64
72,72,1990,SDP,2126,6218,123,673,628,138,8.2%,14.5%,0.123,0.285,0.257,0.32,0.38,0.313,,91,2.0,-65.0,-11.4,14.8,75,87,35,450,162,1461.2,5.71,3.12,0.91,0.28,73.4%,,,,3.68,,3.93,,14.4,18588334.0,18588334.0,502387,195000,46.3
73,73,1990,SEA,1824,6207,107,640,610,105,9.6%,12.1%,0.114,0.281,0.259,0.3329999999999999,0.373,0.32,,97,-1.7,-26.5,31.2,20.7,77,85,41,473,162,1443.1,6.63,3.78,0.75,0.2769999999999999,71.5%,,,,3.72,,3.76,,19.5,12841667.0,12841667.0,347072,160000,47.53
74,74,1990,SFG,2269,6216,152,719,681,109,7.9%,15.7%,0.134,0.291,0.262,0.3229999999999999,0.396,0.321,,100,-2.7,-3.3,8.8,23.4,85,77,45,497,162,1446.1,4.9,3.44,0.82,0.284,71.8%,,,,4.08,,4.09,,7.8,20942333.0,20942333.0,523558,177500,52.47
75,75,1990,STL,2201,6127,73,599,554,221,8.4%,13.8%,0.102,0.288,0.256,0.32,0.358,0.306,,86,12.6,-88.0,72.6,20.4,70,92,39,526,162,1443.1,5.19,2.96,0.61,0.284,68.9%,,,,3.88,,3.59,,17.5,20923334.0,20923334.0,536496,125000,43.21
76,76,1990,TEX,2033,6177,110,676,641,115,9.3%,17.1%,0.1169999999999999,0.3,0.259,0.331,0.376,0.319,,98,1.5,-9.3,-1.8,19.1,83,79,36,464,162,1444.2,6.21,3.88,0.7,0.2789999999999999,71.0%,,,,3.83,,3.83,,16.3,15104372.0,15104372.0,387292,140000,51.23
